전공영역1,전공영역2,구분,학수번호-분반,교과목명,교수,시간,학점,담은 인원,정원,비고
교양/기타,고전.명저 (인문사회),교양,GEDM001-01,고전명저북클럽,고재석,금10:00-10:50【50104】금11:00-11:50【50104】,3,33,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 재학생 전용반 / 수강삭제 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-02,고전명저북클럽,구현숙,금14:00-14:50【50205】금15:00-15:50【50205】,3,26,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-03,고전명저북클럽,권경자,금12:00-12:50【50523A】금13:00-13:50【50523A】,3,28,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-04,고전명저북클럽,권경자,금14:00-14:50【50523A】금15:00-15:50【50523A】,3,25,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-05,고전명저북클럽,김경호,금10:00-10:50【31506】금11:00-11:50【31506】,3,26,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-06,고전명저북클럽,한성일,금12:00-12:50【61706】금13:00-13:50【61706】,3,24,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-07,고전명저북클럽,김종석,금10:00-10:50【50310】금11:00-11:50【50310】,3,23,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-08,고전명저북클럽,김미란,금12:00-12:50【50305】금13:00-13:50【50305】,3,23,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-09,고전명저북클럽,김미란,금14:00-14:50【50305】금15:00-15:50【50305】,3,21,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-10,고전명저북클럽,김병욱,금12:00-12:50【50304】금13:00-13:50【50304】,3,24,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-11,고전명저북클럽,김병욱,금16:00-16:50【31506】금17:00-17:50【31506】,3,25,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-12,고전명저북클럽,김봉석,금10:00-10:50【61802】금11:00-11:50【61802】,3,22,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-13,고전명저북클럽,김상현,금12:00-12:50【50104】금13:00-13:50【50104】,3,22,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-14,고전명저북클럽,김상현,금14:00-14:50【50104】금15:00-15:50【50104】,3,21,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
교양/기타,고전.명저 (인문사회),교양,GEDM001-15,고전명저북클럽,김성수,금10:00-10:50【50304】금11:00-11:50【50304】,3,22,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수강삭제 및 수강철회 불가"
