전공영역1,전공영역2,구분,학수번호-분반,교과목명,교수,시간,학점,담은 인원,정원,비고
경제대학,통계학과,전공일반,BUS2007-02,투자론,오종민,월13:30-14:45【33303】수12:00-13:15【33303】,3,76,0,"국제어수업, 온-오프[오프라인+강의저장], 외국인 TO 3명이상 불가(3인까지만 허용)"
경제대학,통계학과,전공일반,BUS2007-03,투자론,송인욱,월18:00-19:15【33303】월19:30-20:45【33303】,3,83,0,오프라인
경제대학,통계학과,전공일반/전공핵심,STA2011-01,통계학원론,이준석,금09:00-10:15【미지정】금10:30-11:45【미지정】,3,116,0,"강의저장수업, 온라인[사전제작]"
경제대학,통계학과,전공일반,STA3014-01,통계적데이터마이닝,김재직,화10:30-11:45【32211】목09:00-10:15【32211】,3,69,0,오프라인
경제대학,통계학과,전공일반,ECO3031-01,금융계량경제학,김지현,화16:30-17:45【33205】목15:00-16:15【33205】,3,25,0,온-오프[오프라인+강의저장]
경제대학,통계학과,전공핵심,MAE2008-01,해석학2,강영훈,화16:30-17:45【50415】목15:00-16:15【50415】,3,7,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
경제대학,통계학과,전공일반,SOE3001-01,통계적학습과인공지능,박종선,월09:00-10:15【31405】수10:30-11:45【31405】,3,27,0,오프라인
경제대학,통계학과,전공핵심,STA2008-01,통계수학,안수형,금15:00-16:15【31405】금16:30-17:45【31405】,3,25,0,오프라인
경제대학,통계학과,전공핵심,STA2010-01,회귀분석입문,서병태,월13:30-14:45【미지정】수12:00-13:15【미지정】,3,92,0,온라인[사전제작]
경제대학,통계학과,전공핵심,STA2014-01,수리통계학입문,서병태,월12:00-13:15【31405】수13:30-14:45【31405】,3,72,0,"국제어수업, 오프라인"
경제대학,통계학과,전공핵심,STA2014-02,수리통계학입문,이경재,화12:00-13:15【31704】목13:30-14:45【31704】,3,65,0,오프라인
경제대학,통계학과,전공핵심,STA2017-01,행렬대수학,안수형,금12:00-13:15【31405】금13:30-14:45【31405】,3,25,0,오프라인
경제대학,통계학과,전공일반,STA3005-01,베이즈통계입문,이근백,화09:00-10:15【32211】목10:30-11:45【32211】,3,36,0,오프라인
경제대학,통계학과,전공일반,STA3010-01,비모수통계입문,김찬민,월16:30-17:45【31405】수15:00-16:15【31405】,3,45,0,오프라인
경제대학,통계학과,전공일반,STA3020-01,금융통계학입문,박종선,월10:30-11:45【31405】수09:00-10:15【31405】,3,36,0,오프라인
경제대학,통계학과,전공일반,STA3021-01,확률과정론입문,백창룡,월18:00-19:15【31405】월19:30-20:45【31405】,3,44,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
경제대학,통계학과,전공일반,STA3025-01,표본조사론,이준석,수18:00-19:15【31704】수19:30-20:45【31704】,3,61,0,온-오프[오프라인+강의저장]
경제대학,통계학과,전공(대학원),STA4006-01,고차원자료분석입문,백창룡,월09:00-10:15【31403】월10:30-11:45【31403】,3,12,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
경제대학,통계학과,전공일반,BUS2007-05,투자론,임병화,화15:00-16:15【33304】목16:30-17:45【33304】,3,46,0,오프라인
경제대학,통계학과,전공핵심,STA2016-01,통계프로그래밍입문,박세영,월15:00-16:15【31405】수16:30-17:45【31405】,3,61,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
경제대학,통계학과,전공일반,BUS2007-01,투자론,김대진,월13:30-14:45【33304】수12:00-13:15【33304】,3,16,0,"국제어수업, 온-오프[오프라인+강의저장]"
경제대학,국제통상학전공,전공/전공일반,PHL3027-41,문화철학,이아름,화13:30-14:45【51155】목12:00-13:15【51155】,3,40,0,"온-오프[오프라인+강의저장,Real Time Streaming], 교양인정전공교과목(비전공생수강시, 균형교양 인간/문화의이해영역으로 인정)"
경제대학,국제통상학전공,전공일반,INT3003-01,글로벌지속경영,정홍주,수09:00-10:15【32210】수10:30-11:45【32210】,3,45,0,"온-오프[오프라인+강의저장,Real Time Streaming]"
경제대학,국제통상학전공,전공핵심,BIZ2022-04,회계원리,백원선,화09:00-10:15【33301】화10:30-11:45【33301】,3,65,0,온라인[사전제작]
경제대학,국제통상학전공,전공핵심,BIZ2022-05,회계원리,이재형,화13:30-14:45【33302】목12:00-13:15【33302】,3,97,0,오프라인
경제대학,국제통상학전공,전공핵심,BIZ2022-06,회계원리,이재형,월09:00-10:15【33303】수10:30-11:45【33303】,3,72,0,오프라인
경제대학,국제통상학전공,전공핵심,BIZ2022-07,회계원리,황주희,금12:00-13:15【33302】금13:30-14:45【33302】,3,79,0,오프라인
경제대학,국제통상학전공,전공일반,BUS3001-01,국제물류,김민재,금09:00-10:15【미지정】금10:30-11:45【미지정】,3,92,0,온라인[사전제작]
경제대학,국제통상학전공,전공일반,BUS3001-02,국제물류,김민재,금12:00-13:15【33306】금13:30-14:45【33306】,3,77,0,오프라인
경제대학,국제통상학전공,전공일반,BUS3027-01,글로벌리스크관리보험,맹승민,목18:00-19:15【33306】목19:30-20:45【33306】,3,69,0,오프라인
경제대학,국제통상학전공,전공일반,BUS3027-02,글로벌리스크관리보험,임소영,목18:00-19:15【33304】목19:30-20:45【33304】,3,57,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
경제대학,국제통상학전공,전공일반/전공핵심,ECO2001-01,경제학원론1,김일중,월16:30-17:45【31403】수15:00-16:15【31403】,3,91,0,오프라인
경제대학,국제통상학전공,전공일반/전공핵심,ECO2001-02,경제학원론1,정미경,목09:00-10:15【31403】목10:30-11:45【31403】,3,63,0,온-오프[오프라인+강의저장]
